%Aromatic,%Negative,%positive,%hydro,%cys,Pi,Weight,size,charge,salt,cysteine,Abundance,Enrichment
4.575163399,24.18300654,17.64705882,33.9869281,1.307189542,4.69,17435.13,10,0,0,0,-5.727181934,7.02E-01
4.301075269,15.05376344,23.65591398,34.40860215,0,9.76,10802.33,10,0,0,0,#N/A,7.20E-01
4.62962963,13.88888889,16.66666667,38.88888889,1.851851852,7.76,12312.14,10,0,0,0,#N/A,7.36E-01
3.760683761,11.11111111,11.96581197,42.22222222,0.512820513,6.06,64346.79,10,0,0,0,-6.016920984,7.39E-01
5.178571429,16.51785714,17.67857143,34.46428571,0.535714286,6.21,130327.48,10,0,0,0,#N/A,7.45E-01
3.365384615,13.46153846,13.46153846,45.19230769,2.884615385,5.46,22567.65,10,0,0,0,#N/A,7.56E-01
4.339250493,9.861932939,6.311637081,33.53057199,0.394477318,4.42,47947.24,10,0,0,0,#N/A,7.60E-01
4.016064257,12.71753681,13.92235609,43.64123159,1.070950469,6.65,81771.91,10,0,0,0,-6.061815047,7.63E-01
4.04040404,15.15151515,24.24242424,33.33333333,0,9.9,11475.98,10,0,0,0,#N/A,7.67E-01
2.465483235,16.66666667,13.90532544,30.17751479,0.295857988,4.89,112484.68,10,0,0,0,-6.409828985,7.74E-01
3.728813559,11.18644068,16.27118644,36.61016949,0,9.5,31886.16,10,0,0,0,#N/A,7.80E-01
5.446623094,12.8540305,13.28976035,40.30501089,0.217864924,7.66,49344.11,10,0,0,0,-6.282049687,8.64E-01
2.447552448,14.51048951,12.93706294,50,0.874125874,4.91,57828.09,10,0,0,0,-5.634806982,8.85E-01
4,15.2,12,40,0.8,4.16,9803.78,10,0,0,0,-5.148604728,9.10E-01
6.25,14.0625,13.54166667,43.05555556,0.694444444,5.3,64597.03,10,0,0,0,-5.71785626,9.16E-01
2.203182375,21.29742962,13.34149327,28.15177479,0.122399021,4.48,90797.71,10,0,0,0,-6.659229682,9.50E-01
2.777777778,11.80555556,17.36111111,46.52777778,0,9.62,15785.92,10,0,0,0,#N/A,9.62E-01
5.109489051,13.86861314,15.32846715,37.95620438,2.189781022,6.3,15544.64,10,0,0,0,#N/A,9.64E-01
2.777777778,11.80555556,17.36111111,46.52777778,0,9.61,15759.88,10,0,0,0,#N/A,9.74E-01
2.664796634,11.0799439,10.79943899,37.02664797,0.981767181,5.43,78307.69,10,0,0,0,-7.299067159,1.00E+00
5.324980423,13.93891934,14.87862177,37.43148003,0.313234143,5.99,145165.62,10,0,0,0,-6.949314621,1.00E+00
1.376146789,16.97247706,17.43119266,34.86238532,0,6.69,24137.56,10,0,0,0,-6.177808823,1.08E+00
3.655913978,16.55913978,17.20430108,37.84946237,0.430107527,6.92,51115.65,10,0,0,0,-5.300138408,1.08E+00
1.973333333,20.64,17.86666667,28.69333333,0.426666667,5.14,218456.24,10,0,0,0,#N/A,1.10E+00
6.913580247,13.08641975,9.62962963,43.45679012,0.987654321,4.35,35749.8,10,0,0,0,-5.149258292,1.12E+00
1.935483871,19.35483871,20,24.51612903,1.935483871,5.8,18186.77,10,0,0,0,#N/A,1.13E+00
4.314329738,15.40832049,13.25115562,41.60246533,0.30816641,5.05,70546.79,10,0,0,0,#N/A,1.14E+00
6.586826347,19.16167665,11.37724551,42.51497006,0.598802395,4.41,18741.12,10,0,0,0,-5.245870717,1.15E+00
3.149606299,14.96062992,14.96062992,45.66929134,0.787401575,5.62,14564.79,10,0,0,0,-6.072130658,1.17E+00
1.818181818,15.45454545,12.72727273,45.45454545,1.818181818,4.98,12380.19,10,0,0,0,-5.191804875,1.22E+00
6.578947368,20.39473684,7.236842105,38.81578947,0,3.97,16659.29,10,0,0,0,#N/A,1.26E+00
2.732240437,11.20218579,21.31147541,32.24043716,0.273224044,9.9,40662.91,10,0,0,0,-6.441647294,1.27E+00
8.791208791,10.98901099,14.28571429,43.95604396,1.098901099,6.35,17566.99,10,0,0,0,-5.449537683,1.28E+00
4.517133956,15.26479751,12.92834891,42.83489097,0.31152648,5.02,69651.09,10,0,0,0,-5.836824947,1.34E+00
2.564102564,16.48351648,12.45421245,33.6996337,0.366300366,4.82,30930.13,10,0,0,0,-5.23068964,1.35E+00
